osmid,y,x,highway,street_count,vul,time-vul,time-all,ref,geometry
42421877,40.7328569,-73.9959291,traffic_signals,4,-0.0022704820421186335,1259.0394661426544,1262.7826058864594,,POINT (-73.9959291 40.7328569)
42421889,40.7341463,-73.9991816,traffic_signals,4,-0.0022769194063964647,1259.0394661426544,1262.7826058864594,,POINT (-73.9991816 40.7341463)
42422258,40.748197,-74.00742,traffic_signals,3,-0.0026399126203006584,1259.0394661426544,1262.7826058864594,,POINT (-74.00742 40.748197)
42422509,40.7381466,-73.9736517,,3,-0.0025288522840222457,1259.0394661426544,1262.7826058864594,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,traffic_signals,4,-0.0021015303900875125,1259.0394661426544,1262.7826058864594,,POINT (-73.9721236 40.7456883)
42423020,40.7460792,-73.9749383,traffic_signals,5,-0.0011306564276026667,1259.0394661426544,1262.7826058864594,,POINT (-73.9749383 40.7460792)
42423564,40.7589831,-73.9645095,traffic_signals,3,-0.0026595744680850846,1259.0394661426544,1262.7826058864594,,POINT (-73.9645095 40.7589831)
42423774,40.738339,-73.9738156,,3,-0.0015436515894736266,1259.0394661426544,1262.7826058864594,,POINT (-73.9738156 40.738339)
42423832,40.7587817,-73.998505,,3,-0.002311861005783719,1259.0394661426544,1262.7826058864594,,POINT (-73.998505 40.7587817)
42423836,40.7593876,-73.9969538,,3,-0.0024400670988451415,1259.0394661426544,1262.7826058864594,,POINT (-73.9969538 40.7593876)
42423847,40.7588687,-73.9992001,,3,-0.0008755526150486441,1259.0394661426544,1262.7826058864594,,POINT (-73.9992001 40.7588687)
42423885,40.7577433,-73.9968456,traffic_signals,4,-0.0013195000846161393,1259.0394661426544,1262.7826058864594,,POINT (-73.9968456 40.7577433)
42424089,40.7606212,-73.9643559,traffic_signals,5,-0.0025448286060061887,1259.0394661426544,1262.7826058864594,,POINT (-73.9643559 40.7606212)
42424789,40.7576654,-73.9948115,traffic_signals,4,-0.0014529092384362354,1259.0394661426544,1262.7826058864594,,POINT (-73.9948115 40.7576654)
42426816,40.7472955,-73.9758273,traffic_signals,4,-0.002119188857812514,1259.0394661426544,1262.7826058864594,,POINT (-73.9758273 40.7472955)
42426851,40.74693,-73.9692725,,3,-0.001987771244257736,1259.0394661426544,1262.7826058864594,,POINT (-73.9692725 40.74693)
42426865,40.7374172,-73.974504,motorway_junction,3,-9.672330609470738e-05,1259.0394661426544,1262.7826058864594,7,POINT (-73.974504 40.7374172)
42426875,40.7369776,-73.9749044,,3,-0.0022685404555352093,1259.0394661426544,1262.7826058864594,,POINT (-73.9749044 40.7369776)
42427369,40.7396792,-73.9909583,traffic_signals,4,-0.002405427912224045,1259.0394661426544,1262.7826058864594,,POINT (-73.9909583 40.7396792)
42427371,40.7410305,-73.9941671,traffic_signals,4,-0.0022311315297787473,1259.0394661426544,1262.7826058864594,,POINT (-73.9941671 40.7410305)
42427374,40.742228,-73.997007,traffic_signals,4,-0.0022873616846198785,1259.0394661426544,1262.7826058864594,,POINT (-73.997007 40.742228)
42427381,40.7434264,-73.9998513,traffic_signals,4,-0.0023023701233687533,1259.0394661426544,1262.7826058864594,,POINT (-73.9998513 40.7434264)
42427386,40.7446399,-74.0027323,traffic_signals,4,-0.00218807197174674,1259.0394661426544,1262.7826058864594,,POINT (-74.0027323 40.7446399)
42427390,40.745816,-74.005535,traffic_signals,4,-0.002263717213724822,1259.0394661426544,1262.7826058864594,,POINT (-74.005535 40.745816)
42427423,40.7435682,-73.9923179,traffic_signals,4,-0.002204319144006805,1259.0394661426544,1262.7826058864594,,POINT (-73.9923179 40.7435682)
42427426,40.744765,-73.9951595,traffic_signals,4,-0.002320650362506951,1259.0394661426544,1262.7826058864594,,POINT (-73.9951595 40.744765)
42427427,40.7459612,-73.998,traffic_signals,4,-0.002310272235201424,1259.0394661426544,1262.7826058864594,,POINT (-73.998 40.7459612)
42427477,40.7471747,-74.0008813,traffic_signals,4,-0.002006859548300433,1259.0394661426544,1262.7826058864594,,POINT (-74.0008813 40.7471747)
42427483,40.748355,-74.003684,traffic_signals,4,-0.0023475105375154177,1259.0394661426544,1262.7826058864594,,POINT (-74.003684 40.748355)
42427762,40.7636536,-73.9734832,traffic_signals,4,-0.001109013537071658,1259.0394661426544,1262.7826058864594,,POINT (-73.9734832 40.7636536)
