osmid,y,x,highway,street_count,vul,time-vul,time-all,ref,geometry
582438,-23.528187,-46.6619198,traffic_signals,4,-0.0013688397234608333,80231.08875346184,80239.6171863079,,POINT (-46.6619198 -23.528187)
587993,-23.55821,-46.6382561,,3,0.005743305805932682,80231.08875346184,80239.6171863079,,POINT (-46.6382561 -23.55821)
597269,-23.5689779,-46.608044,traffic_signals,4,-0.001395281152509465,80231.08875346184,80239.6171863079,,POINT (-46.608044 -23.5689779)
597270,-23.5685427,-46.6078851,traffic_signals,4,-0.0014002206808254758,80231.08875346184,80239.6171863079,,POINT (-46.6078851 -23.5685427)
597282,-23.5510876,-46.6261325,,3,0.005873771593488959,80231.08875346184,80239.6171863079,,POINT (-46.6261325 -23.5510876)
597283,-23.5533268,-46.6252641,traffic_signals,4,-0.000701081310144255,80231.08875346184,80239.6171863079,,POINT (-46.6252641 -23.5533268)
597426,-23.5252524,-46.6253024,,3,-0.0012685185804300373,80231.08875346184,80239.6171863079,,POINT (-46.6253024 -23.5252524)
597434,-23.5230076,-46.6129726,motorway_junction,3,1.4590314336537665e-05,80231.08875346184,80239.6171863079,,POINT (-46.6129726 -23.5230076)
597437,-23.5241424,-46.6086344,,3,-0.0012671843590393648,80231.08875346184,80239.6171863079,,POINT (-46.6086344 -23.5241424)
20944547,-23.5321244,-46.6587483,traffic_signals,4,-0.0013687417565042288,80231.08875346184,80239.6171863079,,POINT (-46.6587483 -23.5321244)
20944548,-23.534842,-46.6601022,traffic_signals,4,-0.0014751236382468304,80231.08875346184,80239.6171863079,,POINT (-46.6601022 -23.534842)
20944550,-23.5372021,-46.6535506,traffic_signals,4,-0.0013895990017997626,80231.08875346184,80239.6171863079,,POINT (-46.6535506 -23.5372021)
20944551,-23.538894,-46.6513228,,3,-0.0014708662095033805,80231.08875346184,80239.6171863079,,POINT (-46.6513228 -23.538894)
20944552,-23.5403107,-46.6517752,,4,-0.0014930701095149672,80231.08875346184,80239.6171863079,,POINT (-46.6517752 -23.5403107)
20944553,-23.5400651,-46.6526531,,3,-0.0014743955662249902,80231.08875346184,80239.6171863079,,POINT (-46.6526531 -23.5400651)
20944554,-23.5416139,-46.6531738,traffic_signals,4,-0.0014594300013045253,80231.08875346184,80239.6171863079,,POINT (-46.6531738 -23.5416139)
20944556,-23.5477074,-46.6552234,traffic_signals,4,-0.0014462219971396683,80231.08875346184,80239.6171863079,,POINT (-46.6552234 -23.5477074)
25777913,-23.518581,-46.6469816,,3,-0.001498012080563266,80231.08875346184,80239.6171863079,,POINT (-46.6469816 -23.518581)
25777925,-23.5207514,-46.6433446,,3,-0.001397088365873213,80231.08875346184,80239.6171863079,,POINT (-46.6433446 -23.5207514)
25777928,-23.5208924,-46.6426901,,3,-0.0014693904303099638,80231.08875346184,80239.6171863079,,POINT (-46.6426901 -23.5208924)
25777943,-23.5197443,-46.6361611,,3,-0.0015003750937735393,80231.08875346184,80239.6171863079,,POINT (-46.6361611 -23.5197443)
25777984,-23.5196667,-46.6315649,motorway_junction,3,-0.0010575289352992502,80231.08875346184,80239.6171863079,,POINT (-46.6315649 -23.5196667)
25777990,-23.5198591,-46.6306778,,3,-0.001366098107763275,80231.08875346184,80239.6171863079,,POINT (-46.6306778 -23.5198591)
25777992,-23.5199059,-46.629684,,3,-0.0011393173450810594,80231.08875346184,80239.6171863079,,POINT (-46.629684 -23.5199059)
25777997,-23.5198746,-46.6285394,,3,-0.0012704809984062251,80231.08875346184,80239.6171863079,,POINT (-46.6285394 -23.5198746)
25778039,-23.5199594,-46.626918,,3,-0.001282884199818256,80231.08875346184,80239.6171863079,,POINT (-46.626918 -23.5199594)
25778049,-23.5200626,-46.6225851,,3,-0.0011780468052052556,80231.08875346184,80239.6171863079,,POINT (-46.6225851 -23.5200626)
25778062,-23.5196729,-46.6207637,,3,-0.0011454790882431999,80231.08875346184,80239.6171863079,,POINT (-46.6207637 -23.5196729)
25778134,-23.5218113,-46.6141929,,3,-0.00137051319763043,80231.08875346184,80239.6171863079,,POINT (-46.6141929 -23.5218113)
25778137,-23.5232174,-46.6126896,,3,-0.0005648080922775676,80231.08875346184,80239.6171863079,,POINT (-46.6126896 -23.5232174)
25778140,-23.52377,-46.6115037,,3,-0.0013703815215712813,80231.08875346184,80239.6171863079,,POINT (-46.6115037 -23.52377)
25778144,-23.5240816,-46.6101309,,3,-0.001341073797295659,80231.08875346184,80239.6171863079,,POINT (-46.6101309 -23.5240816)
25778147,-23.5241708,-46.6089591,,3,-0.0014232645442216146,80231.08875346184,80239.6171863079,,POINT (-46.6089591 -23.5241708)
25778277,-23.5260265,-46.5998089,,1,-0.0015003750937735393,80231.08875346184,80239.6171863079,,POINT (-46.5998089 -23.5260265)
25783030,-23.5219155,-46.6056686,,3,-0.0008436359275402573,80231.08875346184,80239.6171863079,,POINT (-46.6056686 -23.5219155)
25783050,-23.5224308,-46.609309,motorway_junction,3,-0.0012918349830042008,80231.08875346184,80239.6171863079,,POINT (-46.609309 -23.5224308)
25783146,-23.5218114,-46.6115765,,3,-0.0013659022465369903,80231.08875346184,80239.6171863079,,POINT (-46.6115765 -23.5218114)
25783236,-23.518172,-46.6201099,,3,-0.0015003750937735393,80231.08875346184,80239.6171863079,,POINT (-46.6201099 -23.518172)
25870718,-23.5646175,-46.6111634,traffic_signals,4,-0.0007373879177032267,80231.08875346184,80239.6171863079,,POINT (-46.6111634 -23.5646175)
25870742,-23.5634708,-46.6112995,traffic_signals,4,-8.247331295901203e-05,80231.08875346184,80239.6171863079,,POINT (-46.6112995 -23.5634708)
25870836,-23.5635176,-46.6113811,traffic_signals,4,0.004162150915021262,80231.08875346184,80239.6171863079,,POINT (-46.6113811 -23.5635176)
25870857,-23.5593666,-46.6139407,,3,-0.0006093846102065843,80231.08875346184,80239.6171863079,,POINT (-46.6139407 -23.5593666)
25871539,-23.5560493,-46.6222841,,3,-0.0012010933824082633,80231.08875346184,80239.6171863079,,POINT (-46.6222841 -23.5560493)
25871670,-23.5523785,-46.6257511,,3,0.0039050713197493823,80231.08875346184,80239.6171863079,,POINT (-46.6257511 -23.5523785)
25871831,-23.5519102,-46.6257308,traffic_signals,4,-0.0010951701820608901,80231.08875346184,80239.6171863079,,POINT (-46.6257308 -23.5519102)
